playerId,name,team,GSAx_Per60_Stabilized,SPOx_Per_1000,SV_Pct,games_played,icetime
8476945,Connor Hellebuyck,WPG,0.244,53.476,0.966,63,224482.000
8476932,Anthony Stolarz,TOR,0.194,55.940,0.967,34,119214.000
8480313,Logan Thompson,WSH,0.182,57.534,0.959,43,152109.000
8476883,Andrei Vasilevskiy,TBL,0.180,51.356,0.961,63,224585.000
8478470,Sam Montembeault,MTL,0.155,55.000,0.955,62,212039.000
8475311,Darcy Kuemper,LAK,0.151,49.306,0.963,50,178419.000
8474596,Jake Allen,NJD,0.143,59.325,0.955,31,104290.000
8478048,Igor Shesterkin,NYR,0.136,51.217,0.953,61,210308.000
8482982,Jet Greaves,CBJ,0.130,63.472,0.970,11,39606.000
8479193,Casey DeSmith,DAL,0.127,55.579,0.958,27,90270.000
8478916,Joey Daccord,SEA,0.123,50.368,0.957,57,197715.000
8476434,John Gibson,ANA,0.122,56.848,0.958,29,93729.000
8479361,Joseph Woll,TOR,0.120,53.140,0.957,42,146540.000
8478009,Ilya Sorokin,NYI,0.111,49.608,0.957,61,209931.000
8476999,Linus Ullmark,OTT,0.098,52.190,0.954,44,148037.000
8479406,Filip Gustavsson,MIN,0.098,46.113,0.960,58,205415.000
8478499,Adin Hill,VGK,0.098,49.922,0.958,50,176413.000
8480843,Lukas Dostal,ANA,0.095,48.760,0.954,54,183459.000
8478872,Karel Vejmelka,UTA,0.091,50.959,0.954,58,202100.000
8475660,Cam Talbot,DET,0.089,51.708,0.952,47,158530.000
8478406,Mackenzie Blackwood,COL,0.087,46.411,0.957,56,193418.000
8482487,Jakub Dobes,MTL,0.079,57.930,0.958,16,52487.000
8481692,Dustin Wolf,CGY,0.078,48.200,0.956,53,190942.000
8475883,Frederik Andersen,CAR,0.073,55.210,0.949,22,79171.000
8479979,Jake Oettinger,DAL,0.068,43.687,0.955,58,204604.000
8473503,James Reimer,BUF,0.065,52.155,0.952,24,81770.000
8482447,Leevi Merilinen,OTT,0.061,56.587,0.964,12,39779.000
8481519,Spencer Knight,CHI,0.050,46.220,0.952,38,132171.000
8475683,Sergei Bobrovsky,FLA,0.047,44.319,0.953,54,191999.000
8481611,Pyotr Kochetkov,CAR,0.041,47.586,0.948,47,167442.000
8476412,Jordan Binnington,STL,0.034,47.586,0.953,56,194339.000
8475809,Scott Wedgewood,COL,0.026,46.035,0.957,24,82385.000
8474593,Jacob Markstrom,NJD,0.023,43.953,0.955,49,174181.000
8477480,Eric Comrie,WPG,0.021,41.732,0.959,20,70773.000
8479312,Alex Lyon,DET,0.019,47.215,0.952,30,93578.000
8476341,Anton Forsberg,OTT,0.017,47.243,0.954,30,100592.000
8482137,Yaroslav Askarov,SJS,0.015,48.553,0.951,13,43008.000
8477967,Thatcher Demko,VAN,0.012,47.231,0.948,23,78118.000
8482821,Arvid Soderblom,CHI,0.007,43.298,0.949,36,125790.000
8478435,Dan Vladar,CGY,0.007,46.843,0.952,30,106862.000
8478492,Ilya Samsonov,VGK,0.005,45.182,0.951,29,104722.000
8480947,Kevin Lankinen,VAN,0.001,42.415,0.955,51,181187.000
8473575,Semyon Varlamov,NYI,-0.006,46.607,0.949,10,36144.000
8479292,Charlie Lindgren,WSH,-0.007,44.499,0.952,39,137220.000
8477968,Alex Nedeljkovic,PIT,-0.007,45.097,0.947,38,129051.000
8477992,Jonas Johansson,TBL,-0.009,41.926,0.948,19,66615.000
8479973,Stuart Skinner,EDM,-0.010,44.535,0.949,51,176547.000
8476914,Joonas Korpisalo,BOS,-0.013,43.068,0.951,27,91782.000
8480981,Joel Hofer,STL,-0.034,38.630,0.954,31,100729.000
8477465,Tristan Jarry,PIT,-0.035,42.378,0.948,36,121194.000
8480193,Daniil Tarasov,CBJ,-0.037,42.671,0.942,20,66025.000
8482446,Joel Blomqvist,PIT,-0.041,41.217,0.939,15,46347.000
8471734,Jonathan Quick,NYR,-0.044,37.032,0.947,24,79541.000
8478024,Ville Husso,ANA,-0.044,33.502,0.945,13,38386.000
8477424,Juuse Saros,NSH,-0.048,41.794,0.948,58,201469.000
8477405,Marcus Hogberg,NYI,-0.051,35.857,0.943,15,43693.000
8478007,Elvis Merzlikins,CBJ,-0.053,43.648,0.949,53,190255.000
8480045,Ukko-Pekka Luukkonen,BUF,-0.056,43.014,0.946,55,190333.000
8480280,Jeremy Swayman,BOS,-0.058,41.961,0.948,58,203435.000
8470594,Marc-Andre Fleury,MIN,-0.066,35.452,0.950,26,83416.000
8475717,Calvin Pickard,EDM,-0.069,35.729,0.949,36,112903.000
8477970,Vitek Vanecek,FLA,-0.069,39.529,0.943,25,83618.000
8481020,Justus Annunen,NSH,-0.070,39.928,0.943,34,107389.000
8482783,Aleksei Kolosov,PHI,-0.078,40.149,0.942,17,54115.000
8479496,David Rittich,LAK,-0.087,37.439,0.947,34,111628.000
8478971,Connor Ingram,UTA,-0.097,32.293,0.944,22,72607.000
8475852,Petr Mrazek,DET,-0.104,37.480,0.947,38,124807.000
8478905,Ivan Fedotov,PHI,-0.110,35.827,0.945,26,85741.000
8480382,Alexandar Georgiev,SJS,-0.124,43.610,0.940,49,160308.000
8475831,Philipp Grubauer,SEA,-0.131,31.864,0.944,26,87629.000
8481035,Samuel Ersson,PHI,-0.139,38.059,0.948,47,156107.000
